location,image_description,text,translated_text,id
Bottom,Text on a white background with a smiley face.,"Send Klmna Horlai
Agnew 🙂","Send How Much
Now 🙂",image_bodo_108.jpg
Top text,The text 'Dress gwdan naggwo' is displayed prominently at the top of the image.,Dress gwdan naggwo,Dress well and be good,image_bodo_281.jpg
Middle text,"Below the first line of text, the phrase 'mn agnw' is written.",mn agnw,I will not,image_bodo_281.jpg
Image with text,A cartoon image of a confused or overwhelmed character with rosy cheeks. The text 'memes bodo' is to the right of the character.,memes bodo,memes bodo,image_bodo_281.jpg
Bottom text,The text 'Durga puja ni namwi swr' is present at the bottom.,Durga puja ni namwi swr,Durga puja is beautiful,image_bodo_281.jpg
Bottom text line 2,The final line of text reads 'Baina horbao gn bra'.,Baina horbao gn bra,Brother you also come,image_bodo_281.jpg
Top text,Text on a white background.,mohor dgna dg malai,mohor dgna dg malai,image_bodo_295.jpg
Middle text,Text on a white background.,pwra Lalai garlai,pwra Lalai garlai,image_bodo_295.jpg
Middle image,"A cartoon character wearing pixelated sunglasses and smiling, with a Facebook logo and text 'memes bodo' next to it.",memes bodo,memes bodo,image_bodo_295.jpg
Bottom text 1,Text on a white background.,jngpwra sase kwonw mwna,jngpwra sase kwonw mwna,image_bodo_295.jpg
Bottom text 2,Text on a white background.,ctwb,ctwb,image_bodo_295.jpg
Top,meme text,"सिक्लाफोरा बिमा बिफानि खोथौखौबा
मानिया BFनि खोथौखौबा दांबुंसे","The sick person, the uninsured person, the hungry person
And the BF who is hungry, will be beaten.",image_bodo_524.jpg
Top,"Text on a blue background with the words ""Durga puja ni dress gwdan bainw hanaini kapasiti gwila deglai "", and an emoji depicting sadness or disappointment.","Durga puja ni dress gwdan
bainw hanaini kapasiti gwila
deglai 😞","Durga puja dress is not available, capacity is gone, feeling sad.",image_bodo_256.jpg
Bottom,"Text on a blue background, likely a username or watermark, reading ""@memes bodo"".",@memes bodo,@memes bodo,image_bodo_256.jpg
Center,"Text written in black color with white outline, saying ""check klmnaya begorkwonw bom na ma hwnbaoyw pagalsw gateyao"" with a laughing emoji.",check klmnaya begorkwonw bom na ma hwnbaoyw pagalsw gateyao,check how badly I made you crazy.,image_bodo_518.jpg
Top text,Text in Hindi about different options.,गरसे फिसा गरसे गिदिरखौ मा होनो-,What to call someone who falls from the sky and is trapped?,image_bodo_531.jpg
List items,A numbered list in Hindi with the troll face meme.,"1)हिजरा
2)मेखला
3)फालवान
4)गुथिरजा","1) Hijra
2) Mekhla
3) Phalwan
4) Guchiraja",image_bodo_531.jpg
Troll face meme,The classic troll face meme with a mischievous expression.,,,image_bodo_531.jpg
Bottom right,Facebook username and post time.,"Adwi Mëmär
Just now","Adwi Mëmär
Just now",image_bodo_531.jpg
center,"The text ""gidir janaini dangja jambi pwr"" is displayed in black, bold font against a white background.",gidir janaini dangja jambi pwr,gidir janaini dangja jambi pwr,image_bodo_257.jpg
center,"Text in bold black letters that says ""jwtwnwi Lakiggwo mn ag ngkwo mwnbla bebwibw"" followed by a smiling emoji",jwtwnwi Lakiggwo mn ag ngkwo mwnbla bebwibw,I will love myself and not care about what others say,image_bodo_243.jpg
Top,"The text ""Lwgw Babw"" is displayed in bold black letters.",Lwgw Babw,Lwgw Babw,image_bodo_280.jpg
Middle,"A cute cartoon character with blush marks on its cheeks and small red hearts floating around it. The character is white with black outlines, has big black eyes, a wide open mouth with a pink tongue, and its hands are raised. To the right of the character, there is smaller text that says ""Memes bodo"".",Memes bodo,Memes bodo,image_bodo_280.jpg
Bottom,"The text ""Posai kumana yaosw"" is displayed in bold black letters. Below this, the text ""dg agbw"" is displayed in bold black letters, followed by a laughing emoji.","Posai kumana yaosw
dg agbw 😂","Posai kumana yaosw
with the dog 😂",image_bodo_280.jpg
Center,The image contains text written in a sans-serif font against a white background. The text is arranged in two lines. The first line reads 'Sna ngkhou mwngwnna' and the second line reads 'mwnla ag' followed by a yellow emoji with smiling eyes and a slight smile.,"Sna ngkhou mwngwnna
mwnla ag😊","Sna ngkhou mwngwnna
mwnla ag😊",image_bodo_109.jpg
Top,A drawing of a person crying while looking at a glowing phone. There is a clock in the background showing it is late. A thought bubble above the person's head contains text and emojis.,Gwiya Dabw bini Sms,Will you send me a message,image_bodo_135.jpg
Bottom,A watermark on the image.,Memes bodo,Memes bodo,image_bodo_135.jpg
Bottom right,A watermark with a username on the image.,@aeikyou,@aeikyou,image_bodo_135.jpg
Middle,"Text in Devanagari script with a Facebook logo and text 'Adwi Mëmār'. The Devanagari text reads 'बाल आव बो दुगैआखे नॉंग्सेर माखौ बा LEVEL देखायगासिनो हनै', which translates to 'Let the child come and show us the level of the ancestors'.","बाल आव बो दुगैआखे नॉंग्सेर माखौ
बा LEVEL देखायगासिनो हनै",Let the child come and show us the level of the ancestors,image_bodo_479.jpg
Center,Text in Devanagari script.,नों हिनजाव बा बिराद बैथा लि जागौमोन,"No don't quarrel, brother, sit down.",image_bodo_337.jpg
Top text,Text in Bengali script with a humorous context.,"বেগার आव एलाजं जाबाय दां खुरै
खुरै गोजा खालाम जोबबाय आं","I will work without pay for allergies,
I've finished fulfilling all my desires.",image_bodo_492.jpg
Middle image,"A drawing of a person laughing hysterically, a popular meme template.",,,image_bodo_492.jpg
Bottom text,"Text in Bengali script, appearing to be a punchline or reaction.",माननायानो जेरावबो आंखोनो हाला,People think I have gone mad,image_bodo_492.jpg
Facebook logo and text,Facebook logo and text 'Adwi Mēmār'.,Adwi Mēmār,Adwi Mēmār,image_bodo_492.jpg
Top,"Text in yellow font with a black outline on a white background. The text says ""Saarngbo Monla Hijaibo Monla"".",सांरगबो मोनला हिनजावो मोनला,"Let him go, let him leave",image_bodo_496.jpg
Middle,A young boy with a confused and annoyed expression sits cross-legged.,,,image_bodo_496.jpg
Right Middle,"A Facebook logo and the text ""Adwi Mëmär"" are displayed.",Adwi Mëmär,Adwi Mëmär,image_bodo_496.jpg
Bottom,"Text in yellow font with a black outline on a white background. The text says ""Aankho Mabadi Isore A Dana Harkho?"".",आंखाै माबायदि इसोर आ दाना हरखो?,Why are the eyes like this?,image_bodo_496.jpg
Top,text on a white background,gwsw twnai Gwnagkha nuba,This is not a proper Bodo sentence.,image_bodo_27.jpg
Middle,A cartoon character holding a phone with blush marks on its cheeks and a small pink heart above its head.,,,image_bodo_27.jpg
Middle right,Facebook logo and text 'memes bodo',f memes bodo,f memes bodo,image_bodo_27.jpg
Bottom,text and a purple devil emoji,like hwnw bayw Lang kela barakwoba,"If you like it, then it's not my fault.",image_bodo_27.jpg
Top,"A young man is playing an acoustic guitar and singing on a grassy field, with stadium seating in the background.","Everywhere in Bodoland, the music of Bodo IC is resonating all around. You can ask to Google.","Everywhere in Bodoland, the music of Bodo IC is resonating all around. You can ask to Google.",image_bodo_469.jpg
Comment 1,A circular profile picture of a person standing with a backpack on a hill.,Swr² china niprai naidg,Are you really that good?,image_bodo_469.jpg
Comment 2,A circular profile picture with a logo containing letters 'NB' in blue and white.,Nwngsa nwma dw nwmfadw lo naidg chaina nifry,Did you really not know that you are not good?,image_bodo_469.jpg
Comment 3,A default grey circular profile picture.,CPA gaokhwNw china ni sankhwna makhw,Did CPA ask you not to do this?,image_bodo_469.jpg
Top,Text in Bengali script with a picture of a megaphone and a palm tree.,"আঁ হিনজাব লালা আঁনি লোগোফ োরা হিনজাব লানা
মা বায়াদ ি সংসা র জায়ো বেখ ৌস ো নায়ন ো দঁ আঁ","I will not care about Lalla, I will not care about the world.
If I am careless, I will not care.",image_bodo_455.jpg
Top,"A young girl forms a heart shape with her hands over her eyes, with two pink hearts floating above her head.",Oii i love,Oii I love,image_bodo_119.jpg
Bottom,The text is overlaid on the image of the girl. The girl is looking at the camera with a slight smile.,Ngkwo Hwndg Ag 😊,How are you doing 😊,image_bodo_119.jpg
Top,"Text saying ""ohh ngkwonw""",ohh ngkwonw,ohh ngkwonw,image_bodo_284.jpg
Middle,"A cute cartoon character standing at a microphone, with a Facebook logo and text ""memes bodo""",memes bodo,memes bodo,image_bodo_284.jpg
Bottom,"Text saying ""pagla badi pyar keya re""",pagla badi pyar keya re,mad person loves a lot,image_bodo_284.jpg
Top,Text in a Devanagari script about Facebook and a person.,हरफाथारला FACEBOOK आव मेगन मौदै हिनजाव नागरिना,"Harphatharla Facebook arrived, Megen Modi gave a speech to the citizens.",image_bodo_521.jpg
Middle,A person wearing sunglasses and wrapped in a blanket.,"Adwi Mēmaŕ
Just now","Adwi Mēmaŕ
Just now",image_bodo_521.jpg
Bottom,Text in a Devanagari script.,मेलेरिआ जाबायआं लोगोफोर,Welcome brothers and sisters,image_bodo_521.jpg
Top,,agkwo nuna nwibw nuywi badi,I will not talk to you,image_bodo_253.jpg
Middle,"A cartoon cat peeking from behind a brown vertical bar. The cat has closed eyes, rosy cheeks, and a small smile. To the right of the cat, the text '@memes bodo' is visible.",@memes bodo,@memes bodo,image_bodo_253.jpg
Bottom,"The text 'klmw na ngsr' is displayed, followed by a yellow emoji with wide eyes and a small open mouth, expressing surprise or shock.",klmw na ngsr,I am going,image_bodo_253.jpg
Top,Text with the words 'Good night sona',Good night sona,Good night sona,image_bodo_252.jpg
Center,"Two cute teddy bears cuddling on a blue pillow, with small pink hearts around them and a watermark '@Memes bodo' below.",@Memes bodo,@Memes bodo,image_bodo_252.jpg
Bottom,"Text in an Indian script with a sad, sweating emoji next to it.",होनहर ग्रॉबो गैया,Hohob grobo gaiya,image_bodo_252.jpg
Top text,"Text written in a language that appears to be Assamese, on a white background.",ফুজানি সিগাং খানায় গোলাও মননয়বা হামগৌমোন,Fujanisinga Khanay Golao Mononayba Hamgomong,image_bodo_534.jpg
Middle image,"The Trollface meme, a black and white cartoon drawing of a grinning face, set against a white background.",,,image_bodo_534.jpg
Bottom text,"Text written in Assamese script, below the Trollface image, on a white background.",সোরবা জাদো ব্ৰা দে,Soroba Jado Bra De,image_bodo_534.jpg
Top,Text in yellow and green Bodo language with the meme boy in the middle,"बौरैबा जुदि गामियाव सोरबा साख्रि मोनफ़्रਾਂबा
आखौथ बिराद रायगोन आइ

आखंथ दा बिमाखौ मालाय फैसा होआखजोबनायसै
APPLY खालाम्नायाव 1k,2k खर'सा जायो बेखार'सो होनगासिनो","If you find someone to brag to in the village,
Your heart will be so happy.

If you give money to sick people, it will be wasted.
When applying, it will cost 1k, 2k, it will be wasted.",image_bodo_508.jpg
Top,"Text ""Undunu Wngkara Bikwo"" with a sad emoji above a drawing of a person in distress.",Undunw Wngkara Bikwo,Undunw Wngkara Bikwo,image_bodo_130.jpg
Middle,"A simple line drawing of a person's head and shoulders, with blush marks on the cheek and a hand covering the face, suggesting shame or embarrassment. A small watermark ""Memes bodo"" is visible.",Memes bodo,Memes bodo,image_bodo_130.jpg
Bottom,"Text ""Sanwi sanwi nw"" with a worried emoji.",Sanwi sanwi nw,Sanwi sanwi nw,image_bodo_130.jpg
Top,"The text ""Gwsw Gwiya Ag Denwi"" followed by a sad emoji.",Gwsw Gwiya Ag Denwi,Gwsw Gwiya Ag Denwi,image_bodo_118.jpg
Middle,"A cartoon drawing of a cute, round character resting its head on its hands with rosy cheeks and closed eyes, suggesting contentment or perhaps shyness.",,,image_bodo_118.jpg
Bottom right of middle image,"The text ""Memes bodo"" in a stylized font with a gradient of pink and green.",Memes bodo,Memes bodo,image_bodo_118.jpg
Bottom,"The text ""Ngjng Railai nw"" followed by an emoji representing neutrality or being unimpressed.",Ngjng Railai nw,Ngjng Railai nw,image_bodo_118.jpg
Top,Text in large font at the top of the image,2024आब हौवा गारना खार्नाइ JANUARY 8 सिम आवोनो सा,2024 New Year's greetings January 8 Sim Awono Sa,image_bodo_454.jpg
Top Left Image,"A woman with traditional Bodo attire, a red bindi on her forehead and jewelry.",A,A,image_bodo_454.jpg
Top Right Image,A woman in a pink dress is shown with a 'Bodoland Express' logo and a news ticker.,"BODOLAND

दैनिन 24x7

BREAKING NEWS
क क्रान्धार जिल्लांनि उत्तर रामपल्लिल गामिनि अजय-
बसमतारिनि बिसि म'भता बसुमतारिजा गोमानां दे ।","BODOLAND
Daily 24x7
BREAKING NEWS
In Krongjhar district, Uttar Rampallil village's Ajay
Basumatari is accused of taking 50,000 rupees from Basumatari.",image_bodo_454.jpg
Bottom Left Image,A woman in a black and red patterned dress holds up a yellow card.,NO NEWS,NO NEWS,image_bodo_454.jpg
Bottom Right Image,"A woman in traditional attire is shown, with the word 'BREAKING' superimposed over her.",BREAKING,BREAKING,image_bodo_454.jpg
Center Bottom,"A cartoon referee wearing a yellow shirt and black shorts, holding a yellow card and blowing a whistle.",REF,REF,image_bodo_454.jpg
Top text bubble,A profile picture of a person standing in a natural setting and text indicating a comment.,"Priya Bodo Bodo
Haba jadv wmfwrai beraibai ta","Priya Bodo Bodo
How do you think it is",image_bodo_332.jpg
"Middle text bubble, highlighted",A profile picture of a person with a microphone icon indicating authorship and text of a comment.,"Author
Gemsri Daimari official
Priya Bodo Bodo haba
jakhanaisw officially just
reception baki","Author
Gemsri Daimari official
Priya Bodo Bodo how
it is officially just
reception left",image_bodo_332.jpg
Top,Text in Bodo language.,"somaina ckla pra saize gwywi
senggra pwr nuba Wrwibadi
acting klmw","We are not going to do this
the situation is that
acting like that",image_bodo_32.jpg
Middle,"A cute cartoon character with blushing cheeks and closed eyes, holding its hands to its face. A Facebook logo with ""memes bodo"" text is next to it.",f memes bodo,f memes bodo,image_bodo_32.jpg
Bottom,Text in Bodo language.,"Jen Mwnayao Buhut kwo
nw nubai swi arw","It's not that difficult
this is how it is",image_bodo_32.jpg
Top,"A meme character laughing with eyes closed. The text above the character is in white with a black outline. The first line says, 'Babaiya bighamjo a ese samaynakhi la n'aba'. The second line says, 'anga ankham khahabnay n'a jalaybavo'. Below the character, there is a line of text that reads, 'fijajla a ore ravoj bo fasayajaya sakhigaiyene'. There is also a Facebook logo and text 'Adwi Memar' on the right side of the image.","বাবাইয়া বিহামজো আ এসে সমায়নাখৈ লা ন’আবা
আংখা Aankham খহাবনায় ন’আ জালায়াবাবো","Father, don't give me such a difficult time.
Don't make my eyes wet.",image_bodo_483.jpg
Bottom,"The bottom part of the meme shows the same laughing character with text below it that reads, 'fijajla a ore ravoj bo fasayajaya sakhigaiyene'.",ফিসাজ্জ্লা আ অৱৈ ৱৱজ্বো বো ফাসায়াজায়া সাখ্রি গৈয়ৈনি,"If you are fooled, then you will also be fooled.",image_bodo_483.jpg
Top text,Text in a large font at the top of the image,"देग्लायबो दुर्गा फुजाययाव आखायखालि
हारसिं बेरायमारनांफाइगोन नामा","Will Durga Puja be a success?
Will it be a festival of enjoyment?",image_bodo_497.jpg
Center Image,A young boy sitting on the floor with a sad and frustrated expression.,,,image_bodo_497.jpg
Right side of image,Facebook logo and text 'Adwi Mëmar',Adwi Mëmar,Adwi Mëmar,image_bodo_497.jpg
Bottom text,Text in a large font at the bottom of the image,मालायनि जरा जराखौ नायना फैनांफाइगोन लाय,Will people be able to look forward to it with hope?,image_bodo_497.jpg
Top text,Black text on a white background with a purple border. The text is in Bodo language.,"बर'नि गिबिसिन सोर आयजोआ
बेसेबां मायथाइआव बबे हाजोआव
हासुदंमोन ?","When did you find out that
How much clothing
were you wearing?",image_bodo_18.jpg
Bottom right,A logo with two cartoon characters wearing traditional attire and the text 'MoYe Memer'. Below that is '3m' and a globe icon.,"MoYe Memer
3m ","MoYe Memer
3m",image_bodo_18.jpg
Top,Text 'Boring life' in black sans-serif font.,Boring life,Boring life,image_bodo_30.jpg
Center,A cartoon image of a white bear cub yawning with its paw covering its mouth. There is a Facebook logo with 'memes bodo' text on the right.,memes bodo,memes bodo,image_bodo_30.jpg
Bottom,Text 'ma klmnw kela Gf bw gwjajaya' in black sans-serif font.,ma klmnw kela Gf bw gwjajaya,ma klmnw kela Gf bw gwjajaya,image_bodo_30.jpg
Top,Text in large font.,सिक्लाफोरनि फान्थाब फुन्याब ड्रेस,Sicklaforani fanthab funyab dress,image_bodo_24.jpg
Middle Top,Text in large font.,गानाय नुनयावसो गरम जाखो,Ganay nunyavso garam jakho,image_bodo_24.jpg
Middle,A cartoon of a man thinking with question marks above his head.,,,image_bodo_24.jpg
Bottom,Text in large font next to a thinking emoji.,ना बोथोरानो गरमखा जाखोब्रा,Na bothorano garamkha jakhobara,image_bodo_24.jpg
Top,A drawing of a man's face laughing hysterically with his eyes closed and mouth wide open.,,,image_bodo_318.jpg
Middle,,"दानि जुगाव Virgin सिक्खला नागिरनाय
आरो साल-खुंथानि रोदा नागिरनाय
एखे बाथ्रा","Danijugav virgin sikhlana girnay
oro sal-khunthani roda nagirnay
ekhe bathra",image_bodo_318.jpg
Bottom right,A small profile picture of a character with the text 'Mental Memer' and '3m' below it.,Mental Memer,Mental Memer,image_bodo_318.jpg
Top,"A stick figure with sunglasses and a gold chain, raising its middle finger.",मोसौ गुम्नाय फोर बायदि गुमाबा आयंमोन फिसाजोफोरा,"My father, in the name of God, I am the son of God.",image_bodo_442.jpg
Bottom,"A stick figure with sunglasses and a gold chain, raising its middle finger.",फाल जाहैबा खिनथु साख्रि आंवला बिजामादै मोननाय नआ,Who are you to question my faith and prayer?,image_bodo_442.jpg
Top text,The word Jasulisw followed by several emojis.,"Jasulisw



",Jasulisw,image_bodo_324.jpg
Bottom text,A profile picture icon followed by text.,Lodoi swbgra sw nama,I will be there soon,image_bodo_324.jpg
Top,"A screenshot of a Facebook comment section, showing a user named Mina Muchahary with a profile picture, followed by text and interaction buttons.",Nwng na sipaya gidir ruja Jaa.gugum.kaa.,"Don't be afraid of the soldier, you will see.
",image_bodo_330.jpg
Bottom,"A close-up shot of a woman with dark hair and earrings, wearing a grey t-shirt. She is looking directly at the camera with her mouth slightly open. The background appears to be a room with shelves filled with various items.",,,image_bodo_330.jpg
Top,"Text written in a Devanagari script, possibly Hindi or a related language.",फिसाय जौ फाग्ला गथ सा 1गोंनां नागिरलाय,Fisay jau phagla gath sa 1gonaṁ nagirlay,image_bodo_456.jpg
Top,,Ag bara faltu noga,You are doing useless things,image_bodo_287.jpg
Center,"A drawing of a cute, white, blob-like character with blushing cheeks and a mischievous smile. It is holding one hand up to its face.",,,image_bodo_287.jpg
Center Right,A blue Facebook logo with the text 'memes bodo' next to it.,memes bodo,memes bodo,image_bodo_287.jpg
Bottom,The text 'Esanglo' followed by a smiling emoji with three hearts.,Esanglo,We are,image_bodo_287.jpg
Top,,Nagla lwi agnw,I am not scared.,image_bodo_278.jpg
Middle,"A cute, white, blob-like creature with devil horns and rosy cheeks, looking mischievous.",memes bodo,memes bodo,image_bodo_278.jpg
Bottom,,Nngni onnai kwo,I am scared of you.,image_bodo_278.jpg
Top text,"Two cartoon bears, one white and one brown. The white bear is crying and the brown bear is comforting it.",गैखायो खाफलावनो,Gai khlafhlano,image_bodo_244.jpg
Bottom text,"Two cartoon bears, one white and one brown. The white bear is crying and the brown bear is comforting it.","हास्थयबा मालाल बहा
मोत्रो","Hasthayaba malal baha
Motro",image_bodo_244.jpg
Top,Text in Bodo language.,"आंना अनजालिया गाविन जुलिनि
रादायखौ","My mother's cooking has to be eaten.
Crying",image_bodo_245.jpg
Middle,"A cartoon drawing of a sad, hunched-over figure. The text ""Memes bodo"" is to the right.",Memes bodo,Memes bodo,image_bodo_245.jpg
Bottom,Text in Bodo language with a sad emoji.,"आंनो फोरमाय हरबाय
😔","I have lost my strength.
😔",image_bodo_245.jpg
Top,"The top text of the meme says ""wrwibadi single ag"".",wrwibadi single ag,Still single.,image_bodo_279.jpg
Middle,"A cartoon illustration of a cute, white character with rosy cheeks, holding and looking at a smartphone. A small pink heart floats above its head.",memes bodo,memes bodo,image_bodo_279.jpg
Bottom,"The bottom text of the meme says ""denwisimbw raonibw ckla ni prai phn nmbr mwnperakwi"".",denwisimbw raonibw ckla ni prai phn nmbr mwnperakwi,Always looking for a new number/contact on the phone.,image_bodo_279.jpg
Top,A thought bubble with text and an emoji,"Dabunu ngkwonw nena dg
😩","Do you think I'm going to say yes
😩",image_bodo_127.jpg
Top Text,,आफखं आव खमोन बुर्जा गोनां हिनजाव आ लोखि गोनां जायोनो,Do not go to see the other people's houses.,image_bodo_457.jpg
Middle Image,"A woman with dark armpit hair is shown from the chest up, looking to the right.",नै मादैखो नाय वेवायदि थानांगो खमोनफ्रा,You should not be ashamed of your body.,image_bodo_457.jpg
Bottom Text,,"आरो अनसुलि, आखल गोनां, माहि, नखर खानों गोरोंं बो जायोनो","And also don't go to see others' pits, thighs, nails, or hair.",image_bodo_457.jpg
Top,"Facebook reactions showing a thumbs up and a laughing emoji, followed by the text 'Haina Brahma and 33 others' and a right arrow.",Haina Brahma and 33 others,Haina Brahma and 33 others,image_bodo_443.jpg
Middle,"A profile picture of a person in a blue circle, next to a speech bubble containing the name 'Surju Narzary' and the text 'Hwi bigud nynw baby ang ngkw'.","Surju Narzary
Hwi bigud nynw baby ang ngkw","Surju Narzary
Are you angry baby?",image_bodo_443.jpg
Bottom,The text '19m Like Reply Hide' indicating the time elapsed since the post and interaction options.,19m Like Reply Hide,19m Like Reply Hide,image_bodo_443.jpg
Top,"Text written in a language that looks like Hindi or a similar script, followed by the English text GOOD NIGHT.",सानसेयावनो 18 बार गाहम GOOD NIGHT,Sanseyavano 18 times Gahamm GOOD NIGHT,image_bodo_325.jpg
Middle,"A cartoon of a person with a wide, open mouth, expressing extreme laughter or excitement, with wide eyes and a blue shirt. A Facebook profile picture and name 'Adwi Memar' are visible.",,,image_bodo_325.jpg
Bottom,Text written in a language that looks like Hindi or a similar script.,रौंगौले नौंसोर,Ronggale Nounsor,image_bodo_325.jpg
top,Text in black color written in Devanagari script.,जाम्बाफोरासो थाब हाबा जायो,The jambafuruso is still there,image_bodo_319.jpg
center,"A cartoon of a cute, smiling character with pink cheeks. Below it are small cartoon images of a red car, a helicopter, a blue bowl with a spoon, and a teapot. To the right, there is a social media logo and text 'Mental Memer'.",,,image_bodo_319.jpg
bottom,"Text in black color, partially in Devanagari script and partially in English.",मालाय Legend फोरा Hotel आवसो लाओ,Malay Legend Fhora Hotel have come,image_bodo_319.jpg
Top,"Text in Marathi: ""सिख्लाफोरनि फान्थाब फुन्याब ड्रेस गाय नाय नुनायावसो गरम जाखो""",सिख्लाफोरनि फान्थाब फुन्याब ड्रेस गाय नाय नुनायावसो गरम जाखो,The winter clothes seem to have become too warm to wear.,image_bodo_25.jpg
Middle,A cartoon man is thinking with question marks around his head.,,,image_bodo_25.jpg
Bottom,"Text in Marathi: ""ना बोथोरानो गरमखा जाखिबा""",ना बोथोरानो गरमखा जाखिबा,Is it not getting too warm?,image_bodo_25.jpg
Top text,Black text on a white background with the words HSLC FAIL written in English and then followed by text in a different script.,HSLC FAIL जाना थानय फरोनो साख्रि आवला नागिरिबा,HSLC FAIL to know the old way to come to the city,image_bodo_494.jpg
Center image,"A young Black boy looking sad and upset, with his hand on his chin.",,,image_bodo_494.jpg
Bottom text,"Black text on a white background with the words ""अ,आ,आई सिनायै (थिब सहि) होग्रखैसो लानायसिगोन जो"" written in a different script.","अ,आ,आई सिनायै (थिब सहि) होग्रखैसो लानायसिगोन जो","A, Aa, Aai Sinai (Thib sahi) hograkhaiso lanajisigon jo",image_bodo_494.jpg
Top,Text in Devanagari script with some English words.,"सोग्बा सोग्बा TEACHER फोरा
नखराव बिसिजों दावराव जाना फैंसे","So good, so good, TEACHER is not
looking busy how to get out",image_bodo_480.jpg
Center,"A cartoon drawing of a man laughing hysterically, with his eyes closed and mouth wide open.",,,image_bodo_480.jpg
Bottom,Text in Devanagari script with some English words.,"खिथेरखै STUDENTS फोर्नापसो
होखारफँसे बिदजों जागोन संसार आ","Here students are clever
How will they escape this world",image_bodo_480.jpg
Top,Text in Bodo language,সোরবা গোসো থয়োবা গোসো থোগৌ আঁ,Soraba goso thoyoba goso thogou an,image_bodo_31.jpg
Middle,"Cute cartoon drawing of a round head with blush marks, closed eyes with a smile, and a heart in the middle of its chest. A Facebook logo with text 'memes bodo' is on the top right.",memes bodo,memes bodo,image_bodo_31.jpg
Bottom,Text in a mix of Roman and Bodo script.,messagenr ao খনসে i love you बुंहरबा हामगौ,messagenr ao khonse i love you buhrba hamgou,image_bodo_31.jpg
1,Text in Nepali script. The text is: 'मालायखै मा बुनो गावनि असे लोगोफोरानो Like होआ माथो' with emojis of a thinking face and a crying face.,मालायखै मा बुनो गावनि असे लोगोफोरानो Like होआ माथो,"Why should I be afraid of people who like me, thought it?",image_bodo_19.jpg
2,Facebook page profile picture with two men in traditional attire and text 'Moye Memer' and a Facebook post timestamp of 3m.,Moye Memer,Moye Memer,image_bodo_19.jpg
center,The text in the image is displayed in a dark gray color with a slight 3D effect and a subtle shadow. The text is in all capital letters and reads: AGKWO RAGA KORA NUTARW NAMA ?,AGKWO RAGA KORA NUTARW NAMA ?,AGKWO RAGA KORA NUTARW NAMA ?,image_bodo_381.jpg
Top,Text in black capital letters with a smiling emoji at the end.,Dodere Boha Dg Ngla i :),Dodere Boha Dg Ngla i :),image_bodo_42.jpg
Middle,"A cartoon cat is peeking from behind a white wall, looking sad.",Memes bodo,Memes bodo,image_bodo_42.jpg
Bottom,Text in black capital letters with a neutral face emoji at the end.,Matw Nuya bw Mwnabw Siri Online bw pwiya =|,Matw Nuya bw Mwnabw Siri Online bw pwiya =|,image_bodo_42.jpg
Top text,"Yellow stars are scattered around the text. The text is in large, dark gray, bold letters.",LONGTONG MODERN JUG SONG JWNG JAI LONTOMG MWSANW HAYW BENW DOLLER BANGSIN MWNW,LONGTONG MODERN JUG SONG JWNG JAI LONTOMG MWSANW HAYW BENW DOLLER BANGSIN MWNW,image_bodo_395.jpg
Bottom left image,"A young boy is sitting on the ground, looking up and laughing with his hand on his forehead. He is wearing a simple, torn shirt.",,,image_bodo_395.jpg
Bottom right image,A man with his eyes closed and a wide grin is laughing heartily. His hands are clasped together in front of him.,,,image_bodo_395.jpg
Top,"Text in Devanagari script and English, written in black.","दिंनेंसिंआनि BIRTHDAY फालिफेराखे
आरो आं NEW YEAR（बरायग्नो गण्थाफोर","On birthdays, after celebrating, New Year also comes with more confusion.",image_bodo_424.jpg
Middle,"A man wearing blue sunglasses and wrapped in a blanket, looking at the camera with a smug expression.",,,image_bodo_424.jpg
Bottom,"Text in Devanagari script, written in black.",दालेखां आँखां गोरोंन्थि आवबो,It's all because of the eyes.,image_bodo_424.jpg
Center,White text on a purple background with a praying hands emoji.,Oi sirmwn swrba. Sa 1 banaina hwdw bra 🙏,"Hey everyone. I made 1, please give it",image_bodo_95.jpg
center,Bold dark grey text on a white background.,SIZE GWIYWIKYNW LIKE BW PWIYA COMMENT BW PWIYA GONTASW,SIZE GWIYWIKYNW LIKE BW PWIYA COMMENT BW PWIYA GONTASW,image_bodo_342.jpg
Top,"The text ""Syrnao Tw Dwsinai Ni Simang Gwiya"" is written in bold black letters.",Syrnao Tw Dwsinai Ni Simang Gwiya,"When you are not good, my mind goes crazy",image_bodo_81.jpg
Middle,A sketch of a couple in an intimate position.,,,image_bodo_81.jpg
Bottom,"The text ""Boi Nao Bw Dong Misa Kole Ki Dal Hobo"" is written in bold black letters.",Boi Nao Bw Dong Misa Kole Ki Dal Hobo,You will be disappointed if you delay,image_bodo_81.jpg
Top,"The text 'REAR UNIQUE NAME' is displayed, underlined.",REAR UNIQUE NAME,REAR UNIQUE NAME,image_bodo_430.jpg
Middle Left,"The name 'Lwdwi Gwlao' is displayed, followed by '1.9K friends' and '5 mutual'.","Lwdwi Gwlao
1.9K friends 
5 mutual","Lwdwi Gwlao
1.9K friends
5 mutual",image_bodo_430.jpg
Middle Right,"The name 'Abu Fisa' is displayed, followed by '329 friends' and '15 mutual'.","Abu Fisa
329 friends 
15 mutual","Abu Fisa
329 friends
15 mutual",image_bodo_430.jpg
